trace_id,batch_start,initial_pce,final_pce,pce_min,pce_max,degradation_rate_pct_per_khr,early_slope_pct_per_khr,pce_noise_std,t80_hours,t80_censored,reaches_t80_in_window,n_points,batch_id,batch_size
173,2022-01-28 18:10:00,11.1618,9.2271,9.0999,12.0712,18.9422,11.0964,0.26393,,True,False,900,7,36
174,2022-01-28 18:10:00,11.3416,9.4441,9.1686,12.0421,17.9454,17.6059,0.23194,,True,False,900,7,36
175,2022-01-28 18:10:00,12.3463,10.8932,9.8857,14.3675,19.4108,-11.4369,0.61272,,True,False,900,7,36
176,2022-01-28 18:10:00,11.5762,11.2056,11.0442,12.9662,11.9169,-24.7968,0.16311,,True,False,900,7,36
177,2022-01-28 18:10:00,11.7398,9.5554,9.0501,12.4159,15.5637,30.0764,0.30185,144.608,False,True,900,7,36
178,2022-01-28 18:10:00,11.2691,10.1861,10.1315,12.7532,16.2928,-12.911,0.19198,,True,False,900,7,36
179,2022-01-28 18:10:00,11.0285,10.4973,9.8439,12.7824,15.7263,-20.8633,0.25446,,True,False,900,7,36
180,2022-01-28 18:10:00,11.5518,10.1431,10.084,13.2341,18.7209,14.4614,0.24654,,True,False,900,7,36
181,2022-01-28 18:10:00,11.8039,10.7659,10.2178,13.8264,17.4244,10.0497,0.18734,,True,False,900,7,36
182,2020-06-12 15:50:00,10.5616,4.1943,4.1852,10.8005,34.7143,159.3168,0.77492,14.681,False,True,900,8,33
183,2020-06-12 15:50:00,8.713,3.7155,3.6987,9.0537,26.1504,142.6368,0.68756,13.771,False,True,900,8,33
184,2020-06-12 15:50:00,8.3023,3.5286,3.5282,8.7202,30.3446,103.6887,0.57636,21.546,False,True,900,8,33
185,2020-06-12 15:50:00,9.2933,3.7995,3.7834,9.6746,32.6087,131.4302,0.73187,18.108,False,True,900,8,33
186,2020-06-12 15:50:00,10.7378,3.9175,3.9115,11.0476,41.2915,145.0503,0.77872,18.374,False,True,900,8,33
187,2020-06-12 15:50:00,5.5899,4.171,4.1586,8.0802,24.1306,21.3686,0.43897,100.62,False,True,900,8,33
188,2020-06-12 15:50:00,10.0427,2.9228,2.9208,10.1758,40.1972,114.1109,0.53976,13.733,False,True,900,8,33
189,2020-06-12 15:50:00,9.1006,2.7101,2.6954,9.1625,37.8537,106.7482,0.48517,17.122,False,True,900,8,33
190,2020-06-12 15:50:00,10.1737,2.9012,2.8953,10.4903,41.5943,112.5962,0.49531,14.495,False,True,900,8,33
191,2020-06-12 15:50:00,11.2172,2.9447,2.9398,11.5864,46.0647,122.0644,0.55601,12.803,False,True,900,8,33
192,2020-06-12 15:50:00,10.3968,2.4037,2.3998,10.5957,42.7901,143.7845,0.67939,10.155,False,True,900,8,33
193,2020-06-12 15:50:00,11.2239,2.2841,2.2813,11.4569,48.7659,152.4676,0.75608,10.244,False,True,900,8,33
194,2020-06-12 15:50:00,3.7819,3.6557,0.1591,6.6528,15.4798,46.5968,0.35269,,True,False,900,8,33
195,2020-06-12 15:50:00,10.4926,3.5106,3.4607,10.5655,22.5343,207.0519,0.80765,4.827,False,True,900,8,33
196,2020-06-12 15:50:00,9.605,3.8468,3.8103,9.6721,21.9995,162.944,0.60538,7.046,False,True,900,8,33
197,2020-06-12 15:50:00,1.922,3.7911,0.0571,5.4079,6.8921,6.957,0.24012,,True,False,900,8,33
198,2020-06-12 15:50:00,6.612,3.943,3.8498,6.7298,15.8472,47.0117,0.2849,29.517,False,True,900,8,33
199,2020-06-12 15:50:00,8.8669,2.0148,2.0088,8.9395,42.0219,99.8499,0.59838,17.592,False,True,900,8,33
200,2020-06-12 15:50:00,7.4237,2.2896,2.283,8.055,37.9375,57.706,0.47145,31.275,False,True,900,8,33
201,2020-06-12 15:50:00,8.63,2.7285,2.7242,8.7585,36.4553,67.8156,0.34712,22.978,False,True,900,8,33
202,2020-06-12 15:50:00,12.5436,2.9718,2.9691,12.6777,53.7113,123.7489,0.59435,11.12,False,True,900,8,33
203,2020-06-12 15:50:00,8.9032,1.6351,1.631,9.0331,35.0614,98.2206,0.34117,3.317,False,True,900,8,33
204,2020-06-12 15:50:00,10.436,1.4616,1.4593,10.5751,48.4023,127.0949,0.57954,6.732,False,True,900,8,33
205,2020-06-12 15:50:00,8.9122,1.2998,1.2995,9.055,40.1564,95.1051,0.38045,4.678,False,True,900,8,33
206,2020-06-12 15:50:00,10.876,2.6876,2.6829,10.9834,42.1892,111.4567,0.35345,6.782,False,True,900,8,33
207,2020-06-12 15:50:00,9.6312,1.9803,1.9792,9.7743,37.1136,105.6136,0.35893,3.979,False,True,900,8,33
208,2020-06-12 15:50:00,10.7714,2.3659,2.3609,10.8368,47.0542,105.5056,0.35164,10.71,False,True,900,8,33
209,2020-06-12 15:50:00,4.3287,2.2972,2.2963,6.3695,28.7442,-10.2147,0.20409,96.902,False,True,900,8,33
210,2020-06-12 15:50:00,10.3766,4.4009,4.3992,10.4571,33.2193,81.4818,0.29176,20.239,False,True,900,8,33
211,2020-06-12 15:50:00,9.344,2.0029,1.999,9.472,40.102,93.6632,0.37948,8.865,False,True,900,8,33
212,2020-06-12 15:50:00,10.5925,3.4433,3.4407,10.7035,39.1444,97.0267,0.3266,13.934,False,True,900,8,33
